id,name,code,struct_id/id,category_id/id,amount_percentage_base,sequence,constitutive,constitutive_calculate,condition_select,amount_select,condition_python,quantity,amount_percentage,amount_fix,appears_on_payslip,appears_on_holidays,note,not_remunerate,affect_payslip,affect_percentage_days,affect_worked_days,constitutive_percentage,non_constitutive_percentage,non_const_percentage_up,non_constitutive_calculate,condition_holiday,apply_only_basic_salary,benefit_calculate
__export__.hr_salary_rule_bits_06,VACACIONES HÁBILES MES ACTUAL,145,bits_hr_payroll_news.structure_novelty_02,bits_hr_payroll_news.category_novelty_01,"holiday.compute_holidays(hour_extra_codes=['60','65','70','75'],comision_codes=['321'])",15,is_const,,Always True,percentage,1,1,100,6,True,True,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones habiles (de lunes a sabado)""",False,True,-1,True,100,100,0,False,work_days,False,
__export__.hr_salary_rule_bits_06_1,VACACIONES HÁBILES PROXIMO MES,145-1,bits_hr_payroll_news.structure_novelty_02,bits_hr_payroll_news.category_novelty_01,"holiday.compute_holidays(hour_extra_codes=['60','65','70','75'],comision_codes=['321'])",15,is_const,,Always True,percentage,1,1,100,6,False,False,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones habiles (de lunes a sabado)""",False,True,-1,False,100,100,0,False,work_days,False,
__export__.hr_salary_rule_bits_07,VACACIONES FESTIVOS MES ACTUAL,146,bits_hr_payroll_news.structure_novelty_02,bits_hr_payroll_news.category_novelty_01,"holiday.compute_holidays(hour_extra_codes=['60','65','70','75'],comision_codes=['321'])",16,is_const,,Always True,percentage,1,1,100,7,True,True,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones No habiles (domingos y festivos)""",False,True,-1,True,100,100,0,False,non_work_days,False,
__export__.hr_salary_rule_bits_07_1,VACACIONES FESTIVOS PROXIMO MES,146-1,bits_hr_payroll_news.structure_novelty_02,bits_hr_payroll_news.category_novelty_01,"holiday.compute_holidays(hour_extra_codes=['60','65','70','75'],comision_codes=['321'])",16,is_const,,Always True,percentage,1,1,100,7,False,False,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones No habiles (domingos y festivos)""",False,True,-1,False,100,100,0,False,non_work_days,False,
__export__.hr_salary_rule_bits_38,VACACIONES EN DINERO,147,bits_hr_payroll_news.structure_novelty_03,bits_hr_payroll_news.category_novelty_01,"holiday.compute_holidays(hour_extra_codes=['60','65','70','75'],comision_codes=['321'])",17,is_const,,Always True,percentage,1,1,100,6,False,False,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones compensados (esta concepto aplica solo cuando el empleado los solicita que se le paguen o cuando se retira """,False,True,-1,False,100,100,0,False,work_days,False,
__export__.hr_salary_rule_bits_40,ANTICIPO VACACIONES HABILES,148,bits_hr_payroll_news.structure_novelty_02,hr_payroll_holidays_history.category_novelty_holidays,"holiday.compute_holidays(hour_extra_codes=['60','65','70','75'],comision_codes=['321'])",30,is_const,False,Always True,percentage,1,1,-100,8,False,False,Linea informativo de pago anticipado de días habiles de vacaciones,False,False,-1,True,100,100,0,False,none,False,
__export__.hr_salary_rule_bits_40_1,ANTICIPO VACACIONES FESTIVOS,148-1,bits_hr_payroll_news.structure_novelty_02,hr_payroll_holidays_history.category_novelty_holidays,"holiday.compute_holidays(hour_extra_codes=['60','65','70','75'],comision_codes=['321'])",30,is_const,False,Always True,percentage,1,1,-100,8,False,False,Linea informativo de pago anticipado de días festivos de vacaciones,False,False,-1,True,100,100,0,False,none,False,
__export__.hr_salary_rule_bits_50,LIQUIDACION VACACIONES,150,bits_hr_payroll_news.structure_novelty_02,hr_payroll_holidays_history.category_novelty_holidays,"holiday.compute_holidays(hour_extra_codes=['60','65','70','75'],comision_codes=['321'])",30,is_const,False,Always True,percentage,1,1,-100,8,False,False,Linea informativo de pago anticipado de días festivos de vacaciones,False,False,-1,True,100,100,0,False,none,False,
__export__.hr_salary_rule_bits_holidays_06,VACACIONES HÁBILES MES ACTUAL,145,hr_payroll_holidays_history.structure_holidays,bits_hr_payroll_news.category_novelty_01,,15,is_const,,Always True,fix,1,0,100,0,True,True,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones habiles (de lunes a sabado)""",False,True,-1,True,100,100,0,False,work_days,False,
__export__.hr_salary_rule_bits_holidays_06_1,VACACIONES HÁBILES PROXIMO MES,145-1,hr_payroll_holidays_history.structure_holidays,bits_hr_payroll_news.category_novelty_01,,15,is_const,,Always True,fix,1,0,100,0,False,False,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones habiles (de lunes a sabado)""",False,True,-1,False,100,100,0,False,work_days,False,
__export__.hr_salary_rule_bits_holidays_07,VACACIONES FESTIVOS MES ACTUAL,146,hr_payroll_holidays_history.structure_holidays,bits_hr_payroll_news.category_novelty_01,,16,is_const,,Always True,fix,1,0,100,0,True,True,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones No habiles (domingos y festivos)""",False,True,-1,True,100,100,0,False,non_work_days,False,
__export__.hr_salary_rule_bits_holidays_07_1,VACACIONES FESTIVOS PROXIMO MES,146-1,hr_payroll_holidays_history.structure_holidays,bits_hr_payroll_news.category_novelty_01,,16,is_const,,Always True,fix,1,0,100,0,False,False,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones No habiles (domingos y festivos)""",False,True,-1,False,100,100,0,False,non_work_days,False,
__export__.hr_salary_rule_bits_holidays_38,VACACIONES EN DINERO,147,hr_payroll_holidays_history.structure_holidays,bits_hr_payroll_news.category_novelty_01,,17,is_const,,Always True,fix,1,0,100,0,False,False,"""(Pagos salariales (ultimo sueldo + Promedio anual de las comisiones + Promedio anual horas extras) /30 X los dias de vacaciones compensados (esta concepto aplica solo cuando el empleado los solicita que se le paguen o cuando se retira """,False,True,-1,False,100,100,0,False,work_days,False,
__export__.hr_salary_rule_bits_holidays_40,ANTICIPO VACACIONES HABILES,148,hr_payroll_holidays_history.structure_holidays,hr_payroll_holidays_history.category_novelty_holidays,,30,is_const,False,Always True,fix,1,0,-100,0,False,False,Linea informativo de pago anticipado de días habiles de vacaciones,False,False,-1,True,100,100,0,False,none,False,
__export__.hr_salary_rule_bits_holidays_40_1,ANTICIPO VACACIONES FESTIVOS,148-1,hr_payroll_holidays_history.structure_holidays,hr_payroll_holidays_history.category_novelty_holidays,,30,is_const,False,Always True,fix,1,0,-100,0,False,False,Linea informativo de pago anticipado de días festivos de vacaciones,False,False,-1,True,100,100,0,False,none,False,
__export__.hr_salary_rule_bits_holidays_04,APORTE SALUD,3010,hr_payroll_holidays_history.structure_holidays,bits_hr_payroll_news.category_novelty_02,payslip.paid_amount,180,none,True,Always True,percentage,1,1,-4,28,True,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,False,True,,False,100,100,40,True,none,False,
__export__.hr_salary_rule_bits_holidays_05,APORTE PENSION,3020,hr_payroll_holidays_history.structure_holidays,bits_hr_payroll_news.category_novelty_02,payslip.paid_amount,180,none,True,Always True,percentage,1,1,-4,28,,True,total pagos constitutivos de salario X 4% + el excedente del 40% de pagos no constitutivos de salario ley 1393,False,True,,False,100,100,40,True,none,False,
