id,name,code,category_id/id,struct_id/id,sequence,constitutive,constitutive_calculate,condition_select,amount_select,condition_python,amount_percentage_base,amount_python_compute,quantity,amount_percentage,amount_fix,appears_on_payslip,note,not_remunerate,benefit_calculate,affect_payslip,affect_percentage_days,affect_worked_days,constitutive_percentage,non_constitutive_percentage,non_const_percentage_up,non_constitutive_calculate,condition_holiday,apply_only_basic_salary,apply_other_rules
__export__.hr_payroll_severance_pay_rule_01,PROVISION DE PRIMA,PROPRI,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC', '120'],codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,8.3333,,,(Sueldo+aux transporte + prorrateo de comisiones y Horas extras) *8.33% ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_02,PRIMA LEGAL PROVISIONES SEMESTRE 1,130-1,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,130,,,python,percentage,"result=provisions.get_period_month(from_date=payslip.date_from, to_date=payslip.date_to)","provisions.sum_provisions('PROPRI',codes=['60','65','70','75','321'], period=1,from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES PRIMA LEGAL ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_03,PRIMA LEGAL PROVISIONES SEMESTRE 2,130-1,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,130,,,python,percentage,"result=provisions.get_period_month(from_date=payslip.date_from, to_date=payslip.date_to)","provisions.sum_provisions('PROPRI',codes=['60','65','70','75','321'], period=2,from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES PRIMA LEGAL ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_04,PRIMA LEGAL SEMESTRE 1,130,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,130,,,python,percentage,"month = 6
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=1)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_05,PRIMA LEGAL SEMESTRE 2,130,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,130,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=2)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_06,PROVISION DE PRIMA,PROPRI,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC', '120'],codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,8.3333,,,(Sueldo+aux transporte + prorrateo de comisiones y Horas extras) *8.33% ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_07,PRIMA LEGAL PROVISIONES SEMESTRE 1,130-1,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,python,percentage,"month = 6
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROPRI',codes=['60','65','70','75','321'], period=1,from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES PRIMA LEGAL ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_08,PRIMA LEGAL PROVISIONES SEMESTRE 2,130-1,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROPRI',codes=['60','65','70','75','321'], period=2,from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES PRIMA LEGAL ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_09,PRIMA LEGAL SEMESTRE 1,130,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,python,percentage,"month = 6
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=1)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_10,PRIMA LEGAL SEMESTRE 2,130,bits_hr_payroll_news.category_novelty_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,130,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_legal_premium('120',codes=['60','65','70','75','321'], period=2)",,1,100,,,(Promedio de los 6 meses de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el semestre)/360. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_11,PROVISION DE CESANTIAS,PROCE,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC', '120', 'PROINCRE'],codes=['60','65','70','75','321'],ded_codes=['PROAS'],from_date=payslip.date_from,to_date=payslip.date_to,percentage=8.3333)",,1,100.0000,,,(Sueldo+aux transporte + prorrateo de comisiones y Horas extras ) *8.33%,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_12,CESANTIAS PROVISONES  ANUAL,185-1,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROCE',codes=['60','65','70','75','321'], period=3, from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES DE CESANTIAS ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_13,CESANTIAS DEFINITIVAS  ANUAL,185,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_severance_pay('WORK100',codes=['60','65','70','75','321'])",,1,100,,,(Suma de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el año)/360 . Si en ultimo trimestre hay cambio de salario se debe tomar el promedio del año. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_14,PROVISION DE CESANTIAS,PROCE,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC', '120', 'PROINCRE'],codes=['60','65','70','75','321'],ded_codes=['PROAS'],from_date=payslip.date_from,to_date=payslip.date_to,percentage=8.3333)",,1,100.0000,,,(Sueldo+aux transporte + prorrateo de comisiones y Horas extras ) *8.33%,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_15,CESANTIAS PROVISONES  ANUAL,185-1,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROCE',codes=['60','65','70','75','321'], period=3, from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,, SUMA DE TODAS LAS PROVISIONES DE CESANTIAS ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_16,CESANTIAS DEFINITIVAS  ANUAL,185,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_severance_pay('WORK100',codes=['60','65','70','75','321'])",,1,100,,,(Suma de los pagos salariales (sueldo + comisiones + horas extras + aux transporte ) * Días trabajados en el año)/360 . Si en ultimo trimestre hay cambio de salario se debe tomar el promedio del año. para los dias laborados se debe tener en cuenta los dias de licencia no remunerada,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_17,PROVISION INCRE INTERESES CESANTIAS ,PROINT,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,400,,,none,percentage,1,"provisions.compute_provisions_severance_incremental(['BASIC', '120'],codes=['60','65','70','75','321'], percentage=12,from_date=payslip.date_from,to_date=payslip.date_to)",,1,100,,,Provision de Cesantias  *12%,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_18,INTERESES SOBRE CESANTIAS  ANUAL,190,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_severance_pay_interest('WORK100',codes=['60','65','70','75','321'],percentage=12,from_date=payslip.date_from,to_date=payslip.date_to)",,1,100,,,"(Cesantías * Días trabajados * 0,12) / 360.para los dias laborados se debe tener en cuenta los dias de licencia no remunerada",,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_19,INTERESES CESANTIAS PROVISONES  ANUAL,190-1,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_pay_benefits_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions_interest('PROINT',codes=['60','65','70','75','321'], period=3, from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333,percentage_rule=12)",,1,100,,, SUMA DE TODAS LAS PROVISIONES DE INTERESES SOBRE CESANTIAS ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_20,PROVISION INCRE INTERESES CESANTIAS ,PROINT,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,400,,,none,percentage,1,"provisions.compute_provisions_severance_incremental(['BASIC', '120'],codes=['60','65','70','75','321'], percentage=12,from_date=payslip.date_from,to_date=payslip.date_to)",,1,100,,,Provision de Cesantias  *12%,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_21,INTERESES SOBRE CESANTIAS  ANUAL,190,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_severance_pay_interest('WORK100',codes=['60','65','70','75','321'],percentage=12,from_date=payslip.date_from,to_date=payslip.date_to)",,1,100,,,"(Cesantías * Días trabajados * 0,12) / 360.para los dias laborados se debe tener en cuenta los dias de licencia no remunerada",,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_22,INTERESES CESANTIAS PROVISONES  ANUAL,190-1,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions_interest('PROINT',codes=['60','65','70','75','321'], period=3, from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333,percentage_rule=12)",,1,100,,, SUMA DE TODAS LAS PROVISIONES DE INTERESES SOBRE CESANTIAS ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_23,PROVISION DE VACACIONES,PROVA,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC','PROINCRE'],codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,4.1667,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_24,LIQUIDACION DE VACACIONES  ANUAL ,150,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_holidays_pay('WORK100',codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,100,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_25,LIQUIDACION VACACIONES PROVISONES  ANUAL,150-1,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROVA',codes=['60','65','70','75','321'], period=3, from_date=payslip.date_from,to_date=payslip.date_to, percentage=4.1667)",,1,100,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_26,PROVISION DE VACACIONES,PROVA,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC','PROINCRE'],codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,4.1667,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_27,LIQUIDACION DE VACACIONES ANUAL,150,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_holidays_pay('WORK100',codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,100,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_28,LIQUIDACION VACACIONES PROVISONES  ANUAL,150-1,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROVA',codes=['60','65','70','75','321'], period=3, from_date=payslip.date_from,to_date=payslip.date_to, percentage=4.1667)",,1,100,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_29,PROVISION DE VACACIONES,PROVA,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_02,400,,,none,percentage,1,"provisions.compute_provisions(['BASIC','PROINCRE'],codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,4.1667,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_30,LIQUIDACION DE VACACIONES ANUAL,150,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_02,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.compute_holidays_pay('WORK100',codes=['60','65','70','75','321'],from_date=payslip.date_from,to_date=payslip.date_to)",,1,100,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,True,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_31,LIQUIDACION DE VACACIONES PROVISONES  ANUAL,150-1,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_02,185,,,python,percentage,"month = 12
result = (bool)(payslip.date_from.month == month and payslip.date_to.month == month)","provisions.sum_provisions('PROVA',codes=['60','65','70','75','321'], period=3, from_date=payslip.date_from,to_date=payslip.date_to, percentage=8.3333)",,1,100,,,(Sueldo basico + prorrateo de comisiones y Horas extras)  *4.17%. ,,,False,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_32,PROVISION INTERESES CESANTIAS,PROINT-2,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,400,,,none,percentage,1,"provisions.compute_provisions(['PROCE'],codes=[],from_date=payslip.date_from,to_date=payslip.date_to)",,1,12,,,Provision de Cesantias  *12%,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_33,PROVISION INTERESES CESANTIAS,PROINT-2,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,400,,,none,percentage,1,"provisions.compute_provisions(['PROCE'],codes=[],from_date=payslip.date_from,to_date=payslip.date_to)",,1,12,,,Provision de Cesantias  *12%,,,,,,,,,,none,,
__export__.hr_payroll_severance_pay_rule_34,AJUSTE SALARIAL,PROINCRE,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,390,"","",python,percentage,"result = provisions.check_adjusment(from_date=payslip.date_from,to_date=payslip.date_to)","provisions.compute_adjusment(from_date=payslip.date_from,to_date=payslip.date_to)","",1,100,"",,(Salario actual - Salario Anterior),"","","","","","","","","",none,"",""
__export__.hr_payroll_severance_pay_rule_35,AJUSTE DE CIERRE SALARIAL,PROAS,hr_payroll_severance_pay.category_social_benefits_01,bits_hr_payroll_news.hr_payroll_structure_employee_01,390,"","",python,percentage,"result = provisions.check_annual_salary_adjustments(from_date=payslip.date_from,to_date=payslip.date_to)","provisions.calculate_closure_setting(code=['BASIC', '120', 'PROINCRE'],codes=['60','65','70','75','321'],percentage=8.3333)","",1,100,"",,(Salario actual - Salario Anterior),"","","","","","","","","",none,"",""
__export__.hr_payroll_severance_pay_rule_36,AJUSTE SALARIAL,PROINCRE,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,390,"","",python,percentage,"result = provisions.check_adjusment(from_date=payslip.date_from,to_date=payslip.date_to)","provisions.compute_adjusment(from_date=payslip.date_from,to_date=payslip.date_to)","",1,100,"",,(Salario actual - Salario Anterior),"","","","","","","","","",none,"",""
__export__.hr_payroll_severance_pay_rule_37,AJUSTE DE CIERRE SALARIAL,PROAS,hr_payroll_severance_pay.category_social_benefits_01,hr_payroll_severance_pay.hr_payroll_structure_provisions_01,390,"","",python,percentage,"result = provisions.check_annual_salary_adjustments(from_date=payslip.date_from,to_date=payslip.date_to)","provisions.calculate_closure_setting(code=['BASIC', '120', 'PROINCRE'],codes=['60','65','70','75','321'],percentage=8.3333)","",1,100,"",,(Salario actual - Salario Anterior),"","","","","","","","","",none,"",""